Month,UNRATE,u_lag1,u_lag2,u_lag3,u_lag4,u_lag5,u_lag6,mask_lag1,mask_lag2,mask_lag3,mask_lag4,mask_lag5,mask_lag6,delta_lag1,delta_lag2,delta_lag3,delta_lag4,delta_lag5,delta_lag6,GDP,lnGDP,lnGDP-3,mask_GDP,delta_GDP,gdp,,18629
18629,0.266666667,0.4,0.377777778,0.377777778,0.422222222,0.444444444,0.555555556,1,1,1,1,1,1,0,0,0,0,0,0,2415.66,0.013490656,0.006442828,0,0,2338.51,,
18660,0.2,0.266666667,0.4,0.377777778,0.377777778,0.422222222,0.444444444,1,1,1,1,1,1,0,0,0,0,0,0,,0,0.00374327,0,0,2383.29,,
18688,0.2,0.2,0.266666667,0.4,0.377777778,0.377777778,0.422222222,1,1,1,1,1,1,0,0,0,0,0,0,,0,0.00374327,0,0,2415.66,,
18719,0.133333333,0.2,0.2,0.266666667,0.4,0.377777778,0.377777778,1,1,1,1,1,1,0,0,0,0,0,0,2457.517,0.017178949,0.005663292,1,0,2457.52,,
18749,0.111111111,0.133333333,0.2,0.2,0.266666667,0.4,0.377777778,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,1,2508.17,,
18780,0.155555556,0.111111111,0.133333333,0.2,0.2,0.266666667,0.4,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,2,2513.69,,
18810,0.133333333,0.155555556,0.111111111,0.133333333,0.2,0.2,0.266666667,1,1,1,1,1,1,1,1,1,1,1,1,2508.166,0.020400318,0.006188219,1,3,2540.55,,
18841,0.133333333,0.133333333,0.155555556,0.111111111,0.133333333,0.2,0.2,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,1,2546.02,,
18872,0.177777778,0.133333333,0.133333333,0.155555556,0.111111111,0.133333333,0.2,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,2,2564.4,,
18902,0.222222222,0.177777778,0.133333333,0.133333333,0.155555556,0.111111111,0.133333333,1,1,1,1,1,1,1,1,1,1,1,1,2513.69,0.002199984,0.006646692,1,3,2648.62,,
18933,0.222222222,0.222222222,0.177777778,0.133333333,0.133333333,0.155555556,0.111111111,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,1,2697.86,,
18963,0.133333333,0.222222222,0.222222222,0.177777778,0.133333333,0.133333333,0.155555556,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,2,2718.71,,
18994,0.155555556,0.133333333,0.222222222,0.222222222,0.177777778,0.133333333,0.133333333,1,1,1,1,1,1,1,1,1,1,1,1,2540.55,0.0106288,0.004056377,1,3,2703.41,,
19025,0.133333333,0.155555556,0.133333333,0.222222222,0.222222222,0.177777778,0.133333333,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,1,2662.48,,
19054,0.088888889,0.133333333,0.155555556,0.133333333,0.222222222,0.222222222,0.177777778,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,2,2649.76,,
19085,0.088888889,0.088888889,0.133333333,0.155555556,0.133333333,0.222222222,0.222222222,1,1,1,1,1,1,1,1,1,1,1,1,2546.022,0.002151548,0.005255986,1,3,2652.64,,
19115,0.111111111,0.088888889,0.088888889,0.133333333,0.155555556,0.133333333,0.222222222,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,1,2682.6,,
19146,0.111111111,0.111111111,0.088888889,0.088888889,0.133333333,0.155555556,0.133333333,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,2,2735.09,,
19176,0.155555556,0.111111111,0.111111111,0.088888889,0.088888889,0.133333333,0.155555556,1,1,1,1,1,1,1,1,1,1,1,1,2564.401,0.007192782,0.004049483,1,3,2813.21,,
19207,0.2,0.155555556,0.111111111,0.111111111,0.088888889,0.088888889,0.133333333,1,1,1,1,1,1,1,1,1,1,1,1,,0,0.00374327,0,1,2858.99,,
