year,ECON_FARM(千元), ECON_INDUSTRY,ECON_TRAFIC,ECON_OTHERS,ENVIRONMNT
2011,2182602,627952,6265532,1158023,6374241
2012,2094441,688998,8708224,1580555,6081173
2013,2505988,654780,22193071,1281058,5394754
2014,2793896,712985,16402536,1504646,4877800
2015,3458244,945583,19867731,1506257,5701469
2016,3785221,1156721,23200571,1988815,6258538
2017,...,...,...,...,...
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,year, 社區發展及環境保護支出-環境保護支出(千元),,,
,2011,6374241,,,
,2012,6081173,,,
,2013,5394754,,,
,2014,4877800,,,
,2015,5701469,,,
,2016,6258538,,,
