"","ID","LFP","KID1","KID2","KID3","INCH","AGE","TIME"
"1",1,1,1,1,1,58807.813046494,26,1
"2",1,1,1,0,2,41741.8708023778,27,2
"3",1,1,0,1,2,51320.7277879588,28,3
"4",1,1,0,1,2,48958.5842350334,29,4
"5",1,1,0,1,2,53634.6181721031,30,5
"6",1,1,0,0,3,50983.1262949776,31,6
"7",1,1,0,0,3,52833.4609982973,32,7
"8",1,1,0,0,3,57084.0487371822,33,8
"9",1,1,0,0,3,25771.3837921839,34,9
"10",19,1,0,2,0,35911.7565008825,29,1
"11",19,1,0,1,1,36377.6553091774,29,2
"12",19,1,0,1,1,34977.1405518102,30,3
"13",19,1,0,0,2,36226.276331067,32,4
"14",19,1,0,0,2,35199.2480801973,32,5
"15",19,1,0,0,2,36821.2351554568,34,6
"16",19,1,0,0,2,36068.6735899029,35,7
"17",19,1,0,0,2,35486.2295425181,36,8
"18",19,1,0,0,2,35261.6059197071,37,9
"19",21,1,0,0,1,30513.6682025415,32,1
"20",21,1,0,0,1,27995.5262610315,33,2
"21",21,1,0,0,1,28423.7402711773,34,3
"22",21,1,0,0,1,35189.0417782393,35,4
"23",21,1,0,0,1,39599.0338809795,36,5
"24",21,1,0,0,1,38237.4239663685,37,6
"25",21,1,0,0,1,26416.9201867466,38,7
"26",21,1,0,0,1,39804.6890635542,39,8
"27",21,1,0,0,1,34791.2083421849,40,9
"28",22,1,0,1,1,54185.0327084006,25,1
"29",22,1,0,1,1,43585.9443470005,26,2
"30",22,1,0,0,2,42635.8189760706,27,3
"31",22,1,0,0,2,50488.4562487848,28,4
"32",22,1,0,0,2,41065.7615092633,29,5
"33",22,1,0,0,2,45318.4720555247,30,6
"34",22,1,0,0,2,47272.3104350374,31,7
"35",22,1,0,0,2,60309.8066196102,32,8
"36",22,1,0,0,2,57985.6009949788,33,9
"37",25,0,1,1,1,59177.6964068655,34,1
"38",25,0,1,0,2,54482.2369498649,32,2
"39",25,0,0,1,2,50531.3896807199,35,3
